,Date,SPXL,VOO,Total,VOO_75%+Spxl_25%,Stock,Remainder,Have_voo,Have_spxl,Voo_%,Spxl_%,Voo_100%,Spxl_100%
4159,2022-05-22,75.6544418334961,353.56146240234375,58846.289812644354,58871.37880436586,58821.20082092285,25.08899172150268,43841.621337890625,14979.579483032227,0.745,0.255,38595.8450549738,132896.9275008816
4160,2022-05-23,77.0108871459961,355.7687072753906,59388.56434877717,59442.93906895326,59334.189628601074,54.374720176092524,44471.08840942383,14863.101219177246,0.749,0.25,38836.79462153475,135279.70120174327
4161,2022-05-24,75.27252960205078,353.20391845703125,58732.4627405008,58763.67873112367,58701.24674987793,31.215990622869867,43797.285888671875,14903.960861206055,0.746,0.254,38556.81446996642,132226.04868789937
4162,2022-05-25,77.31705474853516,356.1490173339844,59502.47098024689,59564.123227278455,59440.81873321533,61.652247031561274,44518.62716674805,14922.191566467285,0.748,0.251,38878.310424740775,135817.52466182908
4163,2022-05-26,81.82097625732422,363.2291259765625,61256.74141176545,61282.448437849744,61231.03438568115,25.70702608429565,45766.869873046875,15464.164512634277,0.747,0.252,39651.196627565565,143729.2521918601
4164,2022-05-27,87.91507720947266,372.3376159667969,63556.196230491034,63628.46371952699,63483.92874145508,72.2674890359558,47659.21484375,15824.713897705078,0.75,0.249,40645.50711027256,154434.33801092097
4165,2022-05-28,87.52987289428711,371.8207550048828,63420.701250632635,63427.14013020204,63414.26237106323,6.4388795694030705,47221.23588562012,16193.026485443115,0.745,0.255,40589.084994962104,153757.6762220348
4166,2022-05-29,87.14466857910156,371.30389404296875,63283.79711016022,63290.23598972963,63277.35823059082,6.4388795694030705,47155.59454345703,16121.763687133789,0.745,0.255,40532.662879651645,153081.01443314858
4167,2022-05-30,86.75946426391602,370.7870330810547,63146.89296968781,63153.331849257214,63140.45409011841,6.4388795694030705,47089.953201293945,16050.500888824463,0.746,0.254,40476.240764341186,152404.3526442624
4168,2022-05-31,86.37425994873047,370.2701721191406,63009.9888292154,63016.4277087848,63003.549949645996,6.4388795694030705,47024.31185913086,15979.238090515137,0.746,0.254,40419.81864903073,151727.6908553762
4169,2022-06-01,84.31985473632812,367.1689758300781,62236.07193621003,62242.51081577943,62229.633056640625,6.4388795694030705,46630.45993041992,15599.173126220703,0.749,0.251,40081.28262577627,148118.85925271956
4170,2022-06-02,89.03117370605469,374.1418151855469,63993.21654375397,64070.6694766681,63915.763610839844,77.45293291412963,47890.15234375,16025.611267089844,0.748,0.25,40842.458986820515,156394.90756368687
4171,2022-06-03,84.69517517089844,368.085693359375,62437.55321367585,62459.61596409486,62415.490463256836,22.062750419012445,46746.883056640625,15668.607406616211,0.749,0.251,40181.35430066843,148778.15871186389
4172,2022-06-04,84.92234802246094,368.42052205403644,62522.10343543691,62544.166185855924,62500.0406850179,22.062750419012445,46789.406300862625,15710.634384155273,0.748,0.251,40217.905219796616,149177.21755431383
4173,2022-06-05,85.14952087402344,368.75535074869794,62606.65365719799,62628.716407617,62584.590906778976,22.062750419012445,46831.92954508464,15752.661361694336,0.748,0.252,40254.45613892481,149576.27639676374
4174,2022-06-06,85.37669372558594,369.0901794433594,62691.20387895905,62713.266629378064,62669.14112854004,22.062750419012445,46874.45278930664,15794.688339233398,0.748,0.252,40291.007058053,149975.3352392137
4175,2022-06-07,87.8558120727539,372.6985168457031,63608.09962328278,63608.88710514711,63607.31214141846,0.7874818643249455,47705.41015625,15901.901985168457,0.75,0.25,40684.904148365524,154330.2310426193
